;Matricula;Mes_Recebimento;Padrao_Antigo;R1002_Antiga;R1007_Antiga;R1028_Antiga;R1170_Antiga;R1067_Antiga;R1013_Antiga;R1014_Antiga;R1002_Nova;R1007_Nova;R1028_Nova;R1170_Nova;R1067_Nova
;11020;092023;B69-E;36103.43;1083.1;13358.26;2888.27;5262.59;0;0;36103.43;1083.1;13719.3;2888.27;5262.59
;11025;092023;B69-E;36103.43;1083.1;13358.26;5415.51;5262.59;0;0;36103.43;1083.1;13358.26;5415.51;5262.59
;11099;092023;B69-E;36103.43;1083.1;13358.26;5415.51;5262.59;0;0;36103.43;1083.1;13358.26;5415.51;5262.59
;11108;092023;B69-E;36103.43;1083.1;10108.96;5415.51;0;0;0;36103.43;1083.1;10469.99;5415.51;0
;11140;092023;B69-E;36103.43;1083.1;10108.96;5415.51;0;0;0;36103.43;1083.1;10108.96;5415.51;0
;11144;092023;B69-E;36103.43;1083.1;10108.96;5415.51;5262.59;12529.98;16706.22;36103.43;1083.1;10108.96;5415.51;5262.59
;11200;092023;B69-E;36103.43;1083.1;11553.09;4332.41;0;0;0;36103.43;1083.1;11553.09;4332.41;0
;11201;092023;D39-E;16240.32;487.21;4709.69;2436.04;3342.25;0;0;16240.32;487.21;4709.69;2436.04;3342.25
;11204;092023;D39-E;16240.32;487.21;5521.7;2436.04;3455.93;0;0;16240.32;487.21;5521.7;2436.04;3455.93
;11209;092023;D39-E;16240.32;487.21;5846.51;2354.84;3967.24;0;0;16240.32;487.21;5846.51;2354.84;3967.24
;11210;092023;D39-E;16240.32;487.21;6008.91;2436.04;3524.14;0;0;16240.32;487.21;6008.91;2436.04;3524.14
;11214;092023;C54-E;24214.29;726.43;7506.42;3632.14;0;12181.48;16241.56;24214.29;726.43;7506.42;3632.14;0
;11215;092023;C54-E;24214.29;726.43;7264.28;3632.14;5017.19;0;0;24214.29;726.43;7264.28;3632.14;5017.19
;11217;092023;D39-E;16240.32;487.21;4547.28;2436.04;3327.9;0;0;16240.32;487.21;4547.28;2436.04;3327.9
;11218;092023;D39-E;16240.32;487.21;5196.9;2436.04;3410.46;0;0;16240.32;487.21;5196.9;2436.04;3410.46
;11223;092023;D39-E;16240.32;487.21;4547.28;2436.04;0;0;0;16240.32;487.21;4547.28;2436.04;0
;11225;092023;A69-E;36103.43;1083.1;14802.4;5415.51;5262.59;0;0;36103.43;1083.1;14802.4;5415.51;5262.59
;11229;092023;D39-E;16240.32;487.21;6171.32;2436.04;3546.88;0;0;16240.32;487.21;6171.32;2436.04;3546.88
;11236;092023;C54-E;24214.29;726.43;6780;3632.14;0;0;0;24214.29;726.43;6780;3632.14;0
;11237;092023;A69-E;36103.43;1083.1;11192.06;5415.51;5262.59;0;0;36103.43;1083.1;11192.06;5415.51;5262.59
;11238;092023;C54-E;24214.29;726.43;6780;3390;4915.5;0;0;24214.29;726.43;6780;3390;4915.5
;11239;092023;C54-E;24214.29;726.43;6537.85;3632.14;4923.88;0;0;24214.29;726.43;6537.85;3632.14;4923.88
;11240;092023;C54-E;24214.29;726.43;6780;3632.14;4949.4;0;0;24214.29;726.43;6780;3632.14;4949.4
;11257;092023;D39-E;16240.32;487.21;4547.28;2354.84;3316.53;0;0;16240.32;487.21;4547.28;2354.84;3316.53
;11258;092023;D39-E;16240.32;487.21;4547.28;2436.04;3327.9;0;0;16240.32;487.21;4547.28;2436.04;3327.9
;11265;092023;D39-E;16240.32;487.21;4547.28;2436.04;3327.9;0;0;16240.32;487.21;4547.28;2436.04;3327.9
;11268;092023;C54-E;24214.29;726.43;6780;3632.14;0;0;0;24214.29;726.43;6780;3632.14;0
;11275;092023;A69-E;36103.43;1083.1;11914.13;5415.51;5262.59;0;0;36103.43;1083.1;11914.13;5415.51;5262.59
;11279;092023;D39-E;16240.32;487.21;6008.91;2436.04;3524.14;0;0;16240.32;487.21;6008.91;2436.04;3524.14
;11289;092023;C54-E;24214.29;726.43;7022.14;3632.14;0;0;0;24214.29;726.43;7022.14;3632.14;0
;11298;092023;D39-E;16240.32;487.21;4872.09;2436.04;0;0;0;16240.32;487.21;4872.09;2436.04;0
;11306;092023;D39-E;16240.32;487.21;4709.69;2436.04;3350.63;0;0;16240.32;487.21;4709.69;2436.04;3350.63
;11308;092023;D39-E;16240.32;487.21;6008.91;2436.04;3532.52;0;0;16240.32;487.21;6008.91;2436.04;3532.52
;11311;092023;C54-E;24214.29;726.43;6780;3632.14;5175.6;0;0;24214.29;726.43;6780;3632.14;5175.6
;11313;092023;D39-E;16240.32;487.21;6171.32;2436.04;3546.88;0;0;16240.32;487.21;6171.32;2436.04;3546.88
;11315;092023;C54-E;24214.29;726.43;6780;3632.14;4949.4;0;0;24214.29;726.43;6780;3632.14;4949.4
;11316;092023;D39-E;16240.32;487.21;4547.28;2354.84;3316.53;0;0;16240.32;487.21;4547.28;2354.84;3316.53
;11326;092023;D39-E;16240.32;487.21;4547.28;2436.04;0;0;0;16240.32;487.21;4547.28;2436.04;0
;11336;092023;C54-E;24214.29;726.43;6780;3632.14;4949.4;0;0;24214.29;726.43;7022.14;3632.14;4983.3
;11337;092023;E24-E;10892.27;326.77;3812.29;1633.84;2341.5;0;0;10892.27;326.77;3812.29;1633.84;2341.5
;11341;092023;D39-E;16240.32;487.21;4547.28;2436.04;3103.24;0;0;16240.32;487.21;4547.28;2436.04;3103.24
;11343;092023;B69-E;36103.43;1083.1;10469.99;5415.51;0;0;0;36103.43;1083.1;10469.99;5415.51;0
;11344;092023;C54-E;24214.29;726.43;6780;3632.14;0;0;0;24214.29;726.43;6780;3632.14;0
;11357;092023;C54-E;24214.29;726.43;6780;3632.14;0;0;0;24214.29;726.43;6780;3632.14;0
;11362;092023;C54-E;24214.29;726.43;7022.14;3632.14;0;0;0;24214.29;726.43;7022.14;3632.14;0
;11363;092023;C54-E;24214.29;726.43;7022.14;3632.14;4991.68;0;0;24214.29;726.43;7022.14;3632.14;4991.68
;11366;092023;E24-E;10892.27;326.77;3049.83;1633.84;0;0;0;10892.27;326.77;3049.83;1633.84;0
;11367;092023;E24-E;10892.27;326.77;3049.83;1633.84;2234.76;0;0;10892.27;326.77;3049.83;1633.84;2052.46
;11370;092023;C54-E;24214.29;726.43;6537.85;3632.14;0;11703.57;0;24214.29;726.43;6537.85;3632.14;0
;11373;092023;E24-E;10892.27;326.77;3049.83;1633.84;2226.37;0;0;10892.27;326.77;3049.83;1633.84;2226.37
;11377;092023;E24-E;10892.27;326.77;4030.13;1633.84;0;0;0;10892.27;326.77;4030.13;1633.84;0
;11378;092023;D39-E;16240.32;487.21;5196.9;2436.04;3425.24;0;0;16240.32;487.21;5196.9;2436.04;3425.24
;11381;092023;E24-E;10892.27;326.77;3049.83;1633.84;2234.76;0;0;10892.27;326.77;3049.83;1633.84;2234.76
;11382;092023;D39-E;16240.32;487.21;4222.48;2436.04;3282.42;0;0;16240.32;487.21;4222.48;2436.04;3282.42
;11391;092023;C54-E;24214.29;726.43;6780;3632.14;4957.78;0;0;24214.29;726.43;6780;3632.14;4957.78
;11398;092023;C54-E;24214.29;726.43;7506.42;3632.14;5059.48;0;0;24214.29;726.43;7506.42;3632.14;5059.48
;11409;092023;D39-E;16240.32;487.21;4872.09;2436.04;0;0;0;16240.32;487.21;4872.09;2436.04;0
;11412;092023;C54-E;24214.29;726.43;6780;2663.57;4822.18;0;0;24214.29;726.43;6780;2663.57;4822.18
;11414;092023;E24-E;10892.27;326.77;3049.83;1633.84;2234.76;0;0;10892.27;326.77;3049.83;1633.84;2234.76
;11419;092023;C54-E;24214.29;726.43;8475;3632.14;0;0;0;24214.29;726.43;8475;3632.14;0
;11423;092023;C54-E;24214.29;726.43;7748.57;3632.14;0;0;0;24214.29;726.43;7748.57;3632.14;0
;11436;092023;B69-E;36103.43;1083.1;10831.02;5415.51;0;0;0;36103.43;1083.1;10831.02;5415.51;0
;11437;092023;D39-E;16240.32;487.21;5034.49;2354.84;3384.74;0;0;16240.32;487.21;5034.49;2354.84;3384.74
;11439;092023;C54-E;24214.29;726.43;6780;3632.14;0;0;0;24214.29;726.43;6780;3632.14;0
;11452;092023;D39-E;16240.32;487.21;4547.28;2436.04;3327.9;0;0;16240.32;487.21;4547.28;2436.04;3327.9
;11455;092023;C54-E;24214.29;726.43;6780;3632.14;4949.4;0;0;24214.29;726.43;6780;3632.14;4949.4
;11459;092023;E24-E;10892.27;326.77;3049.83;1633.84;2234.76;0;0;10892.27;326.77;3049.83;1633.84;2234.76
;11462;092023;C54-E;24214.29;726.43;7506.42;0;0;0;0;24214.29;726.43;7506.42;0;0
