;Matricula;Classe;Padrao;DataIngPadrao;Dias_Desconto;Data_Progressao
;13198;E;D39;2022-10-16;25;2023-11-10 00:00:00
;13465;E;C54;2022-11-22;0;2023-11-22 00:00:00
;13516;E;C54;2022-11-07;0;2023-11-07 00:00:00
;16769;C;B58;2022-10-21;18;2023-11-08 00:00:00
;16923;E;C49;2022-11-29;0;2023-11-29 00:00:00
;16934;E;C50;2022-11-18;0;2023-11-18 00:00:00
;18411;C;B62;2022-11-08;0;2023-11-08 00:00:00
;23047;A;B46;2020-10-29;9;2023-11-07 00:00:00
;23056;A;A46;2020-11-04; ;2023-11-04 00:00:00
;23054;A;C31;2020-11-04; ;2023-11-04 00:00:00
;23058;A;B46;2020-11-05; ;2023-11-05 00:00:00
;23066;A;A46;2020-11-06; ;2023-11-06 00:00:00
;23069;A;C31;2020-11-06; ;2023-11-06 00:00:00
;23072;A;A46;2020-11-06; ;2023-11-06 00:00:00
;23074;A;C31;2020-11-09; ;2023-11-09 00:00:00
;23073;A;A46;2020-11-09; ;2023-11-09 00:00:00
;23077;A;A46;2020-11-12; ;2023-11-12 00:00:00
;23057;A;B46;2020-11-12; ;2023-11-12 00:00:00
;23081;A;B46;2020-11-19; ;2023-11-19 00:00:00
